mode,normalized_radius,mean,std,count,se
original,0.3697916666666667,522.5026657053442,727.0169145631723,288,42.83988252707834
original,0.3802083333333333,508.8638429716945,710.2444750175887,288,41.851557048768036
original,0.390625,493.40778950439835,702.026677772864,288,41.36731870225462
original,0.4010416666666667,478.8124273515259,694.9475914891725,288,40.95017954260438
original,0.4114583333333333,471.6911407052594,708.1608982280521,288,41.72878110901769
original,0.421875,464.67017836628776,694.2697974550681,288,40.91024014612413
original,0.4322916666666667,451.5863552970573,686.8821181523226,288,40.47491696844056
original,0.4427083333333333,437.2293392832194,678.0325444024502,288,39.95345083434512
original,0.453125,437.3157924152282,693.3384204835127,288,40.85535823175514
original,0.4635416666666667,432.4479910966246,691.9904379914642,288,40.77592760166779
original,0.4739583333333333,418.33334668266326,674.3477436551344,288,39.73632186803277
original,0.484375,415.6141218839308,684.3814145621171,288,40.32756159624291
original,0.4947916666666667,407.45139409925036,676.0171302897976,288,39.83469141884881
original,0.5052083333333334,404.5544921588369,677.1095058960813,288,39.89906026874931
original,0.515625,387.6395212273833,653.8924855703038,288,38.53098422614072
original,0.5260416666666666,389.7171497171459,668.8174019125204,288,39.41044335565932
original,0.5364583333333334,381.1707031400549,653.6144194344943,288,38.51459902195327
original,0.546875,373.0160367506521,646.7956422678709,288,38.112798724126655
original,0.5572916666666666,375.9418301331531,658.1489365901149,288,38.78179800779878
original,0.5677083333333334,368.39373300622,645.1841617988158,288,38.01784132684178
original,0.578125,364.24343037299104,642.3419262290876,288,37.85036098975141
original,0.5885416666666666,361.1679730217954,647.3637221699047,288,38.14627315337532
original,0.5989583333333334,354.99790196702907,641.1956886063567,288,37.7828182900944
original,0.609375,353.59140464997336,643.0945654493034,288,37.89471068111821
original,0.6197916666666666,347.78251591162183,634.7492146957287,288,37.402956172015465
original,0.6302083333333334,347.2718531023292,635.4440998387364,288,37.44390267174601
original,0.640625,342.0168746421568,629.055400658796,288,37.067444962321275
original,0.6510416666666666,341.247099790154,638.6298676309967,288,37.63162583917875
original,0.6614583333333334,340.36168952383275,638.8758959071871,288,37.64612319438358
original,0.671875,335.0192865957806,624.3602895900377,288,36.79078288939269
original,0.6822916666666666,338.08259107304417,637.5715800186998,288,37.569265643587016
original,0.6927083333333334,336.38928292879996,634.0376644102789,288,37.36102766934906
original,0.703125,336.7576593034612,634.6505716699808,288,37.3971435759802
original,0.7135416666666666,306.3871482141783,606.5891658368952,288,35.74360937979665
original,0.7239583333333334,303.0112395445707,625.8327455590154,288,36.877548189447914
original,0.734375,300.9361786700485,649.1125819098676,288,38.2493257018313
original,0.7447916666666666,303.7899575758901,667.6430787918794,288,39.341245702166866
original,0.7552083333333334,298.0539847631805,668.3160384490237,288,39.38090023025285
original,0.765625,292.4010058292831,654.1331567956239,288,38.54516591409574
original,0.7760416666666666,294.3602252159722,669.5809261042002,288,39.45543445012071
original,0.7864583333333334,292.67810620567593,674.7694377055436,288,39.761170428251965
original,0.796875,284.65719878018155,661.854237439463,288,39.00013495420797
original,0.8072916666666666,286.8999822872316,668.6275124876697,288,39.39925401399369
original,0.8177083333333334,278.0407803377009,639.1294466679105,288,37.66106381624046
original,0.828125,273.1205732917168,634.7122565487292,288,37.40077839231851
original,0.8385416666666666,268.9769591146583,615.4250978291317,288,36.26427166561446
original,0.8489583333333334,258.7679016425244,582.53296732301,288,34.32608428823516
original,0.859375,253.83891473521746,568.4048589709388,288,33.49357751981117
original,0.8697916666666666,262.73733330070047,588.591561631979,288,34.68309038159601
original,0.8802083333333334,252.86697113606513,561.5318577741621,288,33.08858204036583
original,0.890625,247.42721913927517,548.3237580005144,288,32.31028729732127
original,0.9010416666666666,246.70097292076935,547.3729210126801,288,32.254258690496215
original,0.9114583333333334,237.75063340717406,505.905506811527,288,29.81076787550399
original,0.921875,224.0261519123687,485.24243556483884,288,28.593184725614492
original,0.9322916666666666,231.04293330087538,514.0448066747958,288,30.290380719456333
original,0.9427083333333334,229.9996235945145,501.3848874350143,288,29.54438782414604
original,0.953125,228.22518734333684,504.00520725440236,288,29.698791650243272
